region,sexo,edad,educc,activ,yoprcor,ypchtotcor,pueblos_indigenas,lugar_nac,pobreza
13,Mujer,23,Superior completa,Ocupado/a,500000,460000,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,58,Básica completa,Desocupado/a,NA,358991,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Mujer,82,Media incompleta,Inactivo/a,NA,243009,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,64,Media completa,Inactivo/a,NA,330826,Pertenece,Nacido/a en Chile,No pobre
3,Hombre,72,Media incompleta,Inactivo/a,NA,2436987,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,13,Básica incompleta,NA,NA,282853,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Mujer,81,Media incompleta,Inactivo/a,NA,333333,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,71,Básica completa,Inactivo/a,NA,526417,No pertenece,Nacido/a en Chile,NA
1,Mujer,26,Media completa,Inactivo/a,NA,266667,No pertenece,Nacido/a fuera de Chile,No pobre
6,Hombre,73,Superior incompleta,Ocupado/a,2000000,2740000,No pertenece,Nacido/a en Chile,No pobre
14,Hombre,50,Superior completa,Inactivo/a,NA,1250000,No pertenece,Nacido/a en Chile,No pobre
12,Hombre,54,Básica incompleta,Ocupado/a,750000,506834,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,45,Superior completa,Ocupado/a,1400000,717778,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,41,Superior completa,Ocupado/a,690000,278468,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,84,Sin educación formal,Inactivo/a,NA,374356,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Hombre,43,Media completa,Ocupado/a,700000,216847,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Mujer,10,Básica incompleta,NA,NA,426417,No pertenece,Nacido/a en Chile,No pobre
10,Hombre,53,Superior completa,Ocupado/a,250000,394774,No pertenece,Nacido/a en Chile,Pobreza multidimensional
1,Mujer,6,Sin educación formal,NA,NA,305295,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,59,Media completa,Ocupado/a,850000,1150000,No pertenece,Nacido/a en Chile,No pobre
12,Mujer,60,Superior completa,Ocupado/a,60000,633889,No pertenece,Nacido/a en Chile,No pobre
2,Hombre,45,Media completa,Ocupado/a,1000000,405750,No pertenece,Nacido/a en Chile,No pobre
3,Mujer,42,Media completa,Inactivo/a,NA,350000,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,21,Superior incompleta,Desocupado/a,NA,296731,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Mujer,57,Media completa,Ocupado/a,240000,590000,No pertenece,Nacido/a en Chile,No pobre
12,Mujer,63,Media completa,Ocupado/a,500000,562166,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,63,Media completa,Ocupado/a,500000,514000,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,23,Superior incompleta,Inactivo/a,NA,1918750,No pertenece,Nacido/a en Chile,No pobre
15,Mujer,33,Superior completa,Ocupado/a,300000,591803,No pertenece,Nacido/a fuera de Chile,No pobre
13,Mujer,40,Superior completa,Inactivo/a,NA,1270833,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,33,Media completa,Ocupado/a,NA,152724,Pertenece,Nacido/a en Chile,Pobreza por ingresos
9,Mujer,57,Básica incompleta,Inactivo/a,NA,138812,Pertenece,Nacido/a en Chile,Pobreza por ingresos
7,Hombre,59,Básica incompleta,Ocupado/a,500000,424019,No pertenece,Nacido/a en Chile,NA
11,Hombre,70,Media completa,Inactivo/a,NA,575000,No pertenece,Nacido/a en Chile,No pobre
1,Mujer,29,Media completa,Ocupado/a,450000,290500,No pertenece,Nacido/a fuera de Chile,No pobre
9,Hombre,5,Sin educación formal,NA,NA,182886,Pertenece,Nacido/a en Chile,Pobreza severa
7,Hombre,50,Superior completa,Ocupado/a,500000,700000,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,53,Media completa,Inactivo/a,NA,522588,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,22,Media incompleta,Ocupado/a,635000,350000,No pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
5,Mujer,58,Superior completa,Inactivo/a,NA,475000,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,42,Superior completa,Ocupado/a,650000,454941,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,35,Superior completa,Inactivo/a,NA,425000,No pertenece,Nacido/a en Chile,No pobre
16,Mujer,54,Básica completa,Ocupado/a,215000,365612,No pertenece,Nacido/a en Chile,No pobre
10,Hombre,1,Sin educación formal,NA,NA,317750,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,47,Superior incompleta,Ocupado/a,100000,322333,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,49,Media completa,Ocupado/a,450000,233101,No pertenece,Nacido/a en Chile,Pobreza severa
3,Hombre,39,Media completa,Desocupado/a,NA,197364,Pertenece,Nacido/a en Chile,Pobreza por ingresos
15,Hombre,7,Básica incompleta,NA,NA,326667,Pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
1,Mujer,29,Superior completa,Ocupado/a,700000,666667,No pertenece,Nacido/a en Chile,No pobre
1,Mujer,86,Básica incompleta,Inactivo/a,NA,662699,Pertenece,Nacido/a en Chile,No pobre
13,Mujer,10,Básica incompleta,NA,NA,438651,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,75,Básica incompleta,Inactivo/a,NA,420443,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,43,Superior completa,Inactivo/a,NA,465000,Pertenece,Nacido/a en Chile,Pobreza por ingresos
13,Mujer,25,Superior completa,Ocupado/a,600000,553433,No pertenece,Nacido/a fuera de Chile,No pobre
7,Mujer,53,Superior completa,Ocupado/a,1500000,1060625,No pertenece,Nacido/a en Chile,No pobre
7,Hombre,2,Sin educación formal,NA,NA,194849,No pertenece,Nacido/a en Chile,Pobreza multidimensional
10,Hombre,0,Sin educación formal,NA,NA,188444,Pertenece,Nacido/a en Chile,No pobre
6,Mujer,47,Básica incompleta,Inactivo/a,NA,551073,No pertenece,Nacido/a en Chile,Pobreza multidimensional
7,Mujer,75,Media incompleta,Inactivo/a,NA,532786,No pertenece,Nacido/a en Chile,Pobreza por ingresos
10,Hombre,45,Media completa,Ocupado/a,200000,379939,No pertenece,Nacido/a en Chile,No pobre
