region,area,sexo,edad,ecivil,educc,e3,activ,o15,o10,o19,yoprcor,ypchtotcor,pobreza_severa,pueblos_indigenas,lugar_nac
4,2,1,70,1,1,2,3,NA,NA,NA,NA,412148,4,0,0
8,1,1,24,8,4,2,3,NA,NA,NA,NA,216036,4,0,0
10,1,1,48,2,6,2,3,NA,NA,NA,NA,351667,4,0,0
15,1,1,0,NA,0,2,NA,NA,NA,NA,NA,1111111,4,1,0
8,1,2,18,8,4,1,3,NA,NA,NA,NA,280883,3,0,0
8,1,1,53,1,1,2,1,5,44,1,600000,248894,4,0,0
1,1,1,50,8,1,2,1,5,44,3,500000,612000,4,0,1
15,1,2,55,5,4,2,3,NA,NA,NA,NA,300000,2,1,0
5,1,1,62,1,3,2,1,5,44,1,560000,632246,3,0,0
8,2,2,47,1,4,2,1,1,57,NA,300000,635417,4,0,0
6,2,1,54,1,6,2,1,5,44,1,600000,312500,4,0,0
16,1,2,36,1,5,1,1,3,44,1,1500000,865751,4,0,0
6,1,1,39,1,4,2,1,5,44,1,800000,205684,4,0,0
13,1,1,62,1,6,2,1,2,72,NA,NA,1862500,4,0,1
15,1,2,57,5,4,2,1,3,44,1,1200000,1089917,4,0,0
5,1,2,68,7,5,2,3,NA,NA,NA,NA,882148,4,0,0
13,1,1,14,8,2,1,NA,NA,NA,NA,NA,207243,3,0,0
5,1,1,52,8,1,2,1,2,6,NA,NA,200000,1,0,0
13,1,1,53,1,6,2,1,3,44,1,1200000,425625,4,0,0
12,1,1,80,1,1,2,3,NA,NA,NA,NA,555750,4,0,0
6,1,1,55,1,1,2,1,5,44,3,700000,427083,3,0,0
8,1,1,23,8,5,1,2,NA,NA,NA,NA,313081,4,0,0
7,1,2,17,8,3,1,3,NA,NA,NA,NA,585474,3,1,0
10,1,2,7,NA,1,1,NA,NA,NA,NA,NA,900000,4,0,0
2,1,2,26,2,6,2,1,5,16,3,200000,1334167,4,0,0
1,1,1,35,2,1,2,1,5,44,1,650000,362500,3,0,1
8,1,2,58,8,4,2,1,2,15,NA,200000,200000,1,1,0
12,1,2,4,NA,0,2,NA,NA,NA,NA,NA,310622,4,1,0
14,1,1,78,1,1,2,1,5,32,3,NA,532121,4,0,0
3,1,2,14,8,2,1,NA,NA,NA,NA,NA,725000,4,0,0
5,2,1,33,8,2,2,1,5,44,1,520000,238000,3,0,0
4,2,1,8,NA,1,1,NA,NA,NA,NA,NA,276257,4,0,0
8,1,2,66,7,4,2,3,NA,NA,NA,NA,476294,4,0,0
12,1,2,11,NA,1,1,NA,NA,NA,NA,NA,372991,4,1,0
9,2,2,15,8,3,1,3,NA,NA,NA,NA,236526,4,1,0
7,1,1,83,7,1,2,3,NA,NA,NA,NA,425648,2,0,0
7,2,1,48,8,1,2,1,5,36,1,500000,861238,4,0,0
4,2,1,3,NA,0,2,NA,NA,NA,NA,NA,1454912,4,0,0
16,1,2,53,8,5,1,3,NA,NA,NA,NA,292588,2,0,0
1,1,2,18,8,5,1,2,NA,NA,NA,NA,553754,NA,1,0
10,2,1,5,NA,0,1,NA,NA,NA,NA,NA,360056,4,0,0
12,1,1,55,2,2,2,1,5,44,1,1500000,825917,4,1,0
11,2,1,27,8,4,2,1,2,30,NA,150000,542944,4,0,0
9,2,1,62,1,2,2,1,2,8,NA,200000,302956,4,1,0
5,1,2,19,8,4,2,3,NA,NA,NA,NA,168917,2,0,0
2,1,2,50,8,6,2,2,NA,NA,NA,NA,421141,4,1,0
12,1,1,20,8,0,2,3,NA,NA,NA,NA,306426,4,0,0
6,1,2,33,2,4,2,1,5,44,1,500000,188762,1,0,1
5,1,1,30,8,0,2,3,NA,NA,NA,NA,342420,3,0,0
2,1,1,7,NA,1,1,NA,NA,NA,NA,NA,300696,4,0,0
10,1,2,15,8,3,1,3,NA,NA,NA,NA,161173,2,1,0
13,1,2,75,8,3,2,3,NA,NA,NA,NA,472295,4,0,0
8,1,1,48,8,5,2,3,NA,NA,NA,NA,139125,2,0,0
8,1,1,72,2,6,2,1,3,44,1,2000000,1083333,4,0,0
9,2,2,57,7,1,2,3,NA,NA,NA,NA,571287,4,1,0
1,1,2,16,8,3,1,3,NA,NA,NA,NA,450167,4,1,0
15,1,1,73,1,3,2,3,NA,NA,NA,NA,254200,3,1,0
13,1,1,33,1,6,2,1,5,45,1,2350000,1969375,4,0,0
8,2,1,18,8,4,1,3,NA,NA,NA,NA,210000,1,0,0
7,1,2,62,1,4,2,3,NA,NA,NA,NA,191667,4,0,0
9,1,1,9,NA,1,1,NA,NA,NA,NA,NA,163327,2,0,0
11,1,2,90,7,1,2,3,NA,NA,NA,NA,680000,4,0,0
13,1,1,13,NA,1,1,NA,NA,NA,NA,NA,125000,2,0,1
2,1,1,11,NA,1,1,NA,NA,NA,NA,NA,668695,4,0,0
